,state,year,inc_num
0,AL,2011,4123
1,AL,2012,4035
2,AL,2013,4429
3,AL,2014,3871
4,AL,2015,4392
5,AL,2016,3056
6,AR,2011,212009
7,AR,2012,209791
8,AR,2013,196081
9,AR,2014,180809
10,AR,2015,188880
11,AR,2016,200173
12,AZ,2011,12805
13,AZ,2012,12623
14,AZ,2013,19899
15,AZ,2014,19467
16,AZ,2015,18174
17,AZ,2016,16953
18,CO,2011,226726
19,CO,2012,258486
20,CO,2013,252931
21,CO,2014,253328
22,CO,2015,268540
23,CO,2016,283559
24,CT,2011,97947
25,CT,2012,96356
26,CT,2013,91061
27,CT,2014,89445
28,CT,2015,89299
29,CT,2016,98046
30,DC,2011,3112
31,DC,2012,3061
32,DC,2013,3513
33,DC,2014,3169
34,DC,2015,3156
35,DC,2016,3527
36,DE,2011,70325
37,DE,2012,68668
38,DE,2013,64670
39,DE,2014,63311
40,DE,2015,61432
41,DE,2016,62856
42,IA,2011,142415
43,IA,2012,136476
44,IA,2013,131882
45,IA,2014,127047
46,IA,2015,132602
47,IA,2016,137423
48,ID,2011,71642
49,ID,2012,70157
50,ID,2013,68219
51,ID,2014,67512
52,ID,2015,67094
53,ID,2016,69037
54,IL,2011,16815
55,IL,2012,16778
56,IL,2013,15618
57,IL,2014,14766
58,IL,2015,14330
59,IL,2016,14107
60,IN,2013,54
61,IN,2014,5407
62,IN,2015,6347
63,IN,2016,7394
64,KS,2011,150167
65,KS,2012,153880
66,KS,2013,143517
67,KS,2014,128657
68,KS,2015,127908
69,KS,2016,135764
70,KY,2011,144266
71,KY,2012,155013
72,KY,2013,145884
73,KY,2014,162553
74,KY,2015,198122
75,KY,2016,199137
76,LA,2011,42896
77,LA,2012,36868
78,LA,2013,37127
79,LA,2014,37487
80,LA,2015,45931
81,LA,2016,44346
82,MA,2011,243826
83,MA,2012,241358
84,MA,2013,231817
85,MA,2014,215514
86,MA,2015,203730
87,MA,2016,194925
88,ME,2011,16167
89,ME,2012,17236
90,ME,2013,17577
91,ME,2014,16014
92,ME,2015,15173
93,ME,2016,16416
94,MI,2011,564424
95,MI,2012,562587
96,MI,2013,522879
97,MI,2014,492028
98,MI,2015,489370
99,MI,2016,505902
100,MN,2016,1035
101,MO,2011,59349
102,MO,2012,64725
103,MO,2013,62623
104,MO,2014,63117
105,MO,2015,62458
106,MO,2016,64100
107,MS,2011,11602
108,MS,2012,12934
109,MS,2013,14405
110,MS,2014,15192
111,MS,2015,17388
112,MS,2016,18137
113,MT,2011,45546
114,MT,2012,50115
115,MT,2013,47549
116,MT,2014,46847
117,MT,2015,50410
118,MT,2016,52684
119,NB,2011,29568
120,NB,2012,29964
121,NB,2013,28713
122,NB,2014,28217
123,NB,2015,29838
124,NB,2016,32470
125,ND,2011,28861
126,ND,2012,32857
127,ND,2013,33437
128,ND,2014,35999
129,ND,2015,39993
130,ND,2016,39689
131,NH,2011,66165
132,NH,2012,66029
133,NH,2013,62626
134,NH,2014,62361
135,NH,2015,61556
136,NH,2016,58785
137,OH,2011,522241
138,OH,2012,506320
139,OH,2013,490057
140,OH,2014,477231
141,OH,2015,466417
142,OH,2016,484209
143,OK,2011,31206
144,OK,2012,50839
145,OK,2013,62675
146,OK,2014,64544
147,OK,2015,69687
148,OK,2016,81619
149,OR,2011,70899
150,OR,2012,73873
151,OR,2013,77597
152,OR,2014,97445
153,OR,2015,99522
154,OR,2016,204807
155,PA,2014,4795
156,PA,2015,5886
157,PA,2016,5266
158,RI,2011,55598
159,RI,2012,54486
160,RI,2013,51428
161,RI,2014,48207
162,RI,2015,45866
163,RI,2016,44072
164,SC,2011,383370
165,SC,2012,376836
166,SC,2013,357851
167,SC,2014,356181
168,SC,2015,349063
169,SC,2016,350168
170,SD,2011,32059
171,SD,2012,35812
172,SD,2013,34470
173,SD,2014,36169
174,SD,2015,39792
175,SD,2016,42336
176,TN,2011,508185
177,TN,2012,497275
178,TN,2013,469175
179,TN,2014,460409
180,TN,2015,457285
181,TN,2016,466585
182,TX,2011,221766
183,TX,2012,205896
184,TX,2013,189139
185,TX,2014,190423
186,TX,2015,197482
187,TX,2016,205894
188,UT,2011,139866
189,UT,2012,150216
190,UT,2013,151011
191,UT,2014,144720
192,UT,2015,155061
193,UT,2016,157977
194,VA,2011,427756
195,VA,2012,422701
196,VA,2013,410028
197,VA,2014,396544
198,VA,2015,394516
199,VA,2016,398690
200,VT,2011,26808
201,VT,2012,28148
202,VT,2013,24210
203,VT,2014,17279
204,VT,2016,17804
205,WA,2011,149608
206,WA,2012,285535
207,WA,2013,303165
208,WA,2014,318261
209,WA,2015,325353
210,WA,2016,372539
211,WI,2011,117731
212,WI,2012,121103
213,WI,2013,113628
214,WI,2014,111763
215,WI,2015,118667
216,WI,2016,132291
217,WV,2011,72998
218,WV,2012,84255
219,WV,2013,67629
220,WV,2014,63271
221,WV,2015,65888
222,WV,2016,69758
